,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
122,Kilindoni,TZ,82.51,light rain,-7.9139,39.6668,Bustani B&B
123,Aden,YE,78.31,broken clouds,12.7794,45.0367,Sama Emirate Hotel
127,Coahuayana,MX,75.2,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
128,Avarua,CK,84.2,broken clouds,-21.2078,-159.775,Paradise Inn
131,Arraial Do Cabo,BR,78.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
133,East London,ZA,68.97,broken clouds,-33.0153,27.9116,Tu Casa
134,Yulara,AU,78.8,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
135,Airai,TL,67.68,overcast clouds,-8.9266,125.4092,Juvinal Martin
136,Saint-Philippe,RE,77.0,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
137,Barranca,PE,70.39,scattered clouds,-10.75,-77.7667,El Olivar Hospedaje
145,Spring Hill,US,80.01,clear sky,28.4769,-82.5255,Room of The world By traveline Plus
146,Fukue,JP,64.4,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
147,Mozarlandia,BR,74.84,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
148,Tandil,AR,62.01,light rain,-37.3217,-59.1332,HOSTAL DE LA SIERRA TANDIL
154,Santa Isabel,BR,77.0,clear sky,-23.3156,-46.2214,Chácara Sombra do Altíssimo
155,Qui Nhon,VN,75.99,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
157,Camana,PE,70.93,overcast clouds,-16.6228,-72.7111,Hostal Morales
158,Kalmunai,LK,78.21,moderate rain,7.4167,81.8167,VS Villa
159,Itoman,JP,73.4,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
160,Kutum,SD,65.91,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
164,Tarauaca,BR,74.37,broken clouds,-8.1614,-70.7656,Flat Temporada
167,Sharqpur,PK,66.2,smoke,31.4633,74.1,Salim's Dental Clinic..Dr.Awais
168,Puerto Escondido,MX,82.4,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
170,Inhambane,MZ,74.86,light rain,-23.865,35.3833,Oceano
171,Alice Springs,AU,87.01,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
177,Tuni,IN,74.43,scattered clouds,17.35,82.55,Sai Krishna Lodge
179,Port Elizabeth,ZA,68.0,clear sky,-33.918,25.5701,39 On Nile Guest House
181,Naifaru,MV,83.86,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
183,Puerto Madero,MX,86.0,broken clouds,14.7208,-92.4215,Hotel La Central
184,Necochea,AR,62.01,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
188,Ko Samui,TH,82.99,scattered clouds,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
190,Souillac,MU,75.2,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
191,Kavieng,PG,83.28,light rain,-2.5744,150.7967,Nusa Island Retreat
192,Kununurra,AU,82.4,light rain,-15.7667,128.7333,Hotel Kununurra
193,Te Anau,NZ,64.67,moderate rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
196,Carnarvon,AU,77.0,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
197,Tuy Hoa,VN,76.37,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
199,San Jose,US,72.0,clear sky,37.3394,-121.895,The Westin San Jose
202,Hambantota,LK,78.64,light rain,6.1241,81.1185,Bungalow 63
206,Port-Gentil,GA,80.6,light rain,-0.7193,8.7815,Fengshui Residence
208,San Patricio,US,78.8,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
209,Mar Del Plata,AR,64.99,mist,-38.0023,-57.5575,Gran Hotel Mar del Plata
